Municipio,Alcaldía,Gobernación,MinTic,Total
Alcalá,0,2,0,2
Andalucía,0,2,0,2
Ansermanuevo,0,2,0,2
Argelia,0,2,0,2
Bolívar,0,2,2,4
Buenaventura,0,2,4,6
Bugalagrande,0,3,0,3
Caicedonia,0,2,0,2
Cali,40,2,4,46
Calima,0,2,0,2
Candelaria,0,2,2,4
Cartago,0,3,2,5
Dagua,0,2,1,3
El Águila,0,1,2,3
El Cairo,0,2,0,2
El cerrito,0,2,2,4
El Dovio,0,2,1,3
Florida,0,2,2,4
Ginebra,0,2,1,3
Guacarí,0,3,0,3
Guadalajara de Buga,0,3,2,5
Jamundí,0,5,0,5
La cumbre,0,2,0,2
La Unión,0,3,0,3
La victoria,0,2,0,2
Obando,0,2,1,3
Palmira,0,5,0,5
Pradera,0,2,2,4
Restrepo,0,2,2,4
Riofrío,0,2,3,5
Roldanillo,0,3,0,3
San Pedro,0,2,1,3
Sevilla,0,3,0,3
Toro,0,2,0,2
Trujillo,0,2,0,2
Tuluá,0,4,1,5
Ulloa,0,2,0,2
Versalles,0,2,0,2
Vijes,0,2,0,2
Yotoco,0,2,1,3
Yumbo,0,4,1,5
Zarzal,0,2,0,2
